"","EQUIPO","AVG ASISTENCIA GIRA","MAXIMA ASISTENCIA CASA","MENOR ASISTENCIA CASA","AVG ASISTENCIA CASA","ASISTENCIA TOTAL CASA"
"1","Charros de Jalisco",4742,9513,2122,3819,148928
"2","Guerreros de Oaxaca",4919,7200,1100,2665,93269
"3","Pericos de Puebla",4259,9892,3690,5202,182085
"4","Piratas de Campeche",3848,4321,1,1499,50964
"5","Acereros del Norte",5334,8500,3294,4388,153584
"6","Rieleros de Aguascalientes",4404,5344,1851,3321,122865
"7","Leones de Yucatan",4405,5329,1,3219,103023
"8","Toros de Tijuana",4321,17016,3983,9859,325351
"9","Sultanes de Monterrey",4824,18010,1,8616,284329
"10","Bravos de Leon",4564,6097,1467,4058,154197
"11","Diablos Rojos del Mexico",5789,19989,5554,11598,463908
"12","Saraperos de Saltillo",5798,10480,3481,6747,263117
"13","Tecos de los Dos Laredos",4182,7103,2973,3742,142201
"14","Tigres de Quintana Roo",4735,10285,2046,5294,179996
"15","Olmecas de Tabasco",4706,7498,1366,3516,133609
"16","Caliente de Durango",4967,5081,512,1773,65603
"17","Conspiradores de Queretaro",3566,4672,1,1799,61181
"18","El Aguila de Veracruz",4104,7310,1380,3277,114681
"19","Dorados de Chihuahua",5014,6835,248,1706,68220
"20","Algodoneros Union Laguna",5007,7640,5224,6997,286869
