"","TEAM","AB","R","H","D","Tr","HR","RBI","BB","SO","HBP","SB","SF","SH","PA","AVG","OBP","SLG","OPS"
"1","AGU",624,106,185,29,0,24,102,59,126,5,19,11,12,706,0.296,0.356,0.543,0.899
"2","CAM",605,79,165,22,5,11,76,51,97,11,7,8,8,672,0.273,0.336,0.443,0.779
"3","DUR",679,136,231,44,7,16,130,73,122,15,11,9,10,771,0.34,0.411,0.595,1.006
"4","LAR",607,88,161,27,4,15,82,65,97,9,17,5,5,682,0.265,0.343,0.473,0.816
"5","LEO",646,113,192,40,4,23,103,69,110,14,10,7,2,724,0.297,0.374,0.582,0.956
"6","MTY",623,96,187,38,1,25,89,43,91,11,18,6,4,676,0.3,0.353,0.587,0.94
"7","MVA",622,97,177,40,1,12,91,68,104,12,6,6,9,705,0.285,0.363,0.495,0.858
"8","MXO",633,133,203,36,4,16,119,80,106,13,14,5,7,725,0.321,0.405,0.555,0.96
"9","OAX",672,129,206,42,3,17,122,71,144,14,11,5,6,754,0.307,0.382,0.546,0.928
"10","PUE",598,128,175,26,9,23,115,85,134,17,7,13,1,697,0.293,0.388,0.579,0.967
"11","QUI",657,99,191,43,1,14,96,64,131,12,5,7,1,729,0.291,0.361,0.511,0.872
"12","SLT",614,85,164,32,1,15,77,49,137,7,9,5,7,675,0.267,0.326,0.474,0.8
"13","TAB",597,61,157,28,3,8,58,39,104,16,6,4,12,652,0.263,0.323,0.425,0.748
"14","TIJ",617,102,170,35,1,23,95,93,123,8,30,5,4,719,0.276,0.375,0.543,0.918
"15","VAQ",592,55,145,30,5,8,50,52,128,4,12,5,12,661,0.245,0.308,0.426,0.734
"16","YUC",617,99,179,33,5,10,91,85,111,7,16,9,11,722,0.29,0.377,0.486,0.863
