"","TEAM","H","HR","R","ER","SO","BB","BK","W","L","HLD","SV","IP","ERA","WHIP"
"1","AGU",172,19,98,88,104,54,1,8,9,13,5,152,5.21,1.49
"2","CAM",201,17,106,96,90,42,0,6,11,18,5,150,5.76,1.62
"3","DUR",207,17,136,121,112,82,0,8,9,14,3,150,7.26,1.93
"4","LAR",144,12,73,68,128,53,2,9,8,6,4,151.2,4.04,1.3
"5","LEO",181,19,118,104,122,72,1,8,9,6,3,154.2,6.05,1.64
"6","MTY",154,18,75,72,123,51,0,12,5,22,2,155.2,4.16,1.32
"7","MVA",199,14,119,99,115,63,0,6,11,8,1,149.1,5.97,1.75
"8","MXO",170,22,93,85,157,71,5,11,6,14,4,153.1,4.99,1.57
"9","OAX",175,14,99,80,98,66,0,8,9,5,3,152.1,4.73,1.58
"10","PUE",154,17,92,80,106,75,2,12,5,10,4,149,4.83,1.54
"11","QUI",184,7,85,78,124,51,1,12,5,30,7,153,4.59,1.54
"12","SLT",159,11,97,92,118,64,1,5,12,9,3,148.2,5.57,1.5
"13","TAB",162,16,86,81,101,68,2,6,11,6,3,152,4.8,1.51
"14","TIJ",172,20,85,82,95,54,4,9,8,12,3,150,4.92,1.51
"15","VAQ",156,15,93,88,75,86,2,3,14,4,3,147,5.39,1.65
"16","YUC",165,10,81,75,99,52,1,13,4,9,6,155.1,4.35,1.4
