"","DATE","TIME","ATT"
"1","2018-03-22",195,17698
"2","2018-03-23",190,8025
"3","2018-03-24",197,6563.125
"4","2018-03-25",189.428571428571,5575
"5","2018-03-27",190.625,8972.875
"6","2018-03-28",193.375,5159.75
"7","2018-03-29",186.375,6822.25
"8","2018-03-30",197.75,7301.625
"9","2018-03-31",183.375,5845.125
"10","2018-04-01",177.75,7490.625
"11","2018-04-03",196.375,2783.5
"12","2018-04-04",190.875,2600.125
"13","2018-04-05",185.375,3363.375
"14","2018-04-06",183.25,3639.5
"15","2018-04-07",197.125,3321
"16","2018-04-08",178.75,3210.875
"17","2018-04-10",192.75,3136.75
"18","2018-04-11",181.625,3468.5
