"","Year","Team","GP","INN","A","PO","E","F%","DP","TP"
"1","2024","Olmecas de Tabasco",93,"7215.0",830,2405,55,".983",60,0
"2","2024","Pericos de Puebla",89,"6750.0",877,2250,54,".983",96,0
"3","2024","Diablos Rojos del Mexico",90,"7200.0",946,2400,59,".983",113,0
"4","2024","Saraperos de Saltillo",92,"7272.0",981,2424,61,".982",102,0
"5","2024","Algodoneros Union Laguna",91,"7122.0",839,2374,59,".982",87,0
"6","2024","Sultanes de Monterrey",90,"7107.0",978,2369,64,".981",120,0
"7","2024","Tecos de los Dos Laredos",93,"7311.0",879,2438,64,".981",100,0
"8","2024","Guerreros de Oaxaca",90,"7128.0",929,2376,71,".979",98,0
"9","2024","Acereros del Norte",91,"7221.0",948,2407,75,".978",98,0
"10","2024","Toros de Tijuana",92,"7353.0",850,2451,74,".978",88,0
"11","2024","Tigres de Quintana Roo",89,"6912.0",781,2304,70,".978",84,0
"12","2024","Dorados de Chihuahua",93,"7278.0",899,2427,76,".978",105,0
"13","2024","El Aguila de Veracruz",90,"7092.0",870,2364,75,".977",94,0
"14","2024","Charros de Jalisco",92,"7101.0",915,2367,77,".977",91,0
"15","2024","Rieleros de Aguascalientes",91,"7032.0",916,2344,78,".977",108,1
"16","2024","Leones de Yucatan",86,"6750.0",840,2250,74,".977",70,0
"17","2024","Piratas de Campeche",87,"6555.0",754,2185,72,".976",76,0
"18","2024","Bravos de Leon",90,"6990.0",878,2330,84,".974",92,0
"19","2024","Conspiradores de Queretaro",89,"6846.0",872,2283,90,".972",95,0
"20","2024","Caliente de Durango",92,"7191.0",896,2397,109,".968",90,0
