"","DATE","vaq","tij","lar","mxo","mty","mva","yuc","qui","agu","dur","leo","oax","slt","pue","tab","cam"
"10","2018-03-23",0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0
"11","2018-03-24",0,0.5,1,0.5,1,0.5,1,1,0.5,0.5,0.5,0.5,0,0.5,0,0
"12","2018-03-25",0,0.666666666666667,1,0.666666666666667,1,0.333333333333333,1,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0.333333333333333
"1","2018-03-27",0,0.5,0.75,0.75,1,0.5,1,0.5,0.75,0.5,0.25,0.5,0,0.5,0,0.5
"2","2018-03-28",0,0.4,0.6,0.8,1,0.6,0.8,0.6,0.6,0.6,0.2,0.4,0.2,0.6,0.2,0.4
"3","2018-03-29",0,0.333333333333333,0.666666666666667,0.666666666666667,1,0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.166666666666667,0.666666666666667,0.333333333333333,0.333333333333333
"13","2018-03-30",0,0.285714285714286,0.571428571428571,0.571428571428571,0.857142857142857,0.571428571428571,0.714285714285714,0.571428571428571,0.714285714285714,0.714285714285714,0.428571428571429,0.428571428571429,0.285714285714286,0.571428571428571,0.428571428571429,0.285714285714286
"14","2018-03-31",0.125,0.375,0.625,0.625,0.875,0.5,0.75,0.625,0.625,0.625,0.375,0.375,0.25,0.625,0.375,0.25
"15","2018-04-01",0.222222222222222,0.444444444444444,0.555555555555556,0.666666666666667,0.888888888888889,0.444444444444444,0.777777777777778,0.666666666666667,0.555555555555556,0.555555555555556,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.222222222222222
"4","2018-04-03",0.2,0.4,0.5,0.6,0.8,0.4,0.7,0.7,0.6,0.6,0.4,0.4,0.4,0.7,0.4,0.2
"5","2018-04-04",0.181818181818182,0.454545454545455,0.454545454545455,0.636363636363636,0.818181818181818,0.454545454545455,0.636363636363636,0.727272727272727,0.545454545454545,0.636363636363636,0.363636363636364,0.363636363636364,0.363636363636364,0.727272727272727,0.363636363636364,0.272727272727273
"6","2018-04-05",0.25,0.5,0.5,0.666666666666667,0.75,0.416666666666667,0.666666666666667,0.666666666666667,0.5,0.583333333333333,0.333333333333333,0.416666666666667,0.333333333333333,0.666666666666667,0.416666666666667,0.333333333333333
"7","2018-04-06",0.230769230769231,0.461538461538462,0.538461538461538,0.692307692307692,0.769230769230769,0.461538461538462,0.692307692307692,0.692307692307692,0.538461538461538,0.538461538461538,0.384615384615385,0.384615384615385,0.307692307692308,0.615384615384615,0.384615384615385,0.307692307692308
"8","2018-04-07",0.214285714285714,0.5,0.5,0.642857142857143,0.785714285714286,0.428571428571429,0.714285714285714,0.714285714285714,0.5,0.5,0.428571428571429,0.428571428571429,0.285714285714286,0.642857142857143,0.428571428571429,0.285714285714286
"9","2018-04-08",0.2,0.466666666666667,0.466666666666667,0.666666666666667,0.733333333333333,0.4,0.733333333333333,0.733333333333333,0.533333333333333,0.466666666666667,0.4,0.466666666666667,0.333333333333333,0.666666666666667,0.4,0.333333333333333
"16","2018-04-10",0.1875,0.5,0.5,0.6875,0.6875,0.375,0.75,0.6875,0.5,0.4375,0.4375,0.5,0.3125,0.6875,0.375,0.375
"17","2018-04-11",0.176470588235294,0.470588235294118,0.529411764705882,0.647058823529412,0.705882352941177,0.411764705882353,0.705882352941177,0.647058823529412,0.529411764705882,0.411764705882353,0.411764705882353,0.529411764705882,0.352941176470588,0.705882352941177,0.411764705882353,0.352941176470588
"18","2018-04-11",0.176470588235294,0.470588235294118,0.529411764705882,0.647058823529412,0.705882352941177,0.411764705882353,0.705882352941177,0.647058823529412,0.529411764705882,0.411764705882353,0.411764705882353,0.529411764705882,0.352941176470588,0.705882352941177,0.411764705882353,0.352941176470588
